Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
83.7,Porsche Taycan Plus Sport Turismo,188,1090,3537443.6,445,230,5.4
83.7,Porsche Taycan Turbo S Sport Turismo,212,970,7041644.48,395,260,2.8
68,Citroen e-SpaceTourer XL 75 kWh,262,280,2141639.2,260,130,13.3
46.3,Citroen e-Jumpy Combi M 50 kWh,250,290,1840753.6,185,130,12.1
46.3,Opel Zafira-e Life M 50 kWh,250,290,2241580,185,130,12.1
68,Citroen e-Jumpy Combi XL 75 kWh,262,280,2081391.2,260,130,13.3
83.7,Porsche Taycan 4S Plus Sport Turismo,195,1060,4255670.64,430,250,4
46.3,Opel Combo-e Life XL 50 kWh,232,320,1585940,200,135,11.7
71,Porsche Taycan 4S Sport Turismo,192,910,4059970.96,370,250,4
46.3,Peugeot e-Expert Combi Standard 50 kWh,250,290,1840753.6,185,130,13.1
60,Mercedes eVito Tourer Extra-Long 60 kWh,293,300,2182076.24,205,160,12
46.3,Peugeot e-Traveller Long 50 kWh,250,290,1928999.2,185,130,13.1
68,Fiat E-Ulysse L2 75 kWh,257,290,2196925.6,265,130,13.3
83.7,Porsche Taycan Turbo Sport Turismo,207,1000,5860783.68,405,260,3.2
60,Mercedes EQV 250 Extra-Long,286,200,2443552.56,210,160,12
68,Opel Vivaro-e Combi L 75 kWh,262,280,2047546,260,130,13.3
46.3,Opel Vivaro-e Combi M 50 kWh,250,290,1807156.48,185,130,12.1
46.3,Opel Zafira-e Life L 50 kWh,257,290,2270818,180,130,12.1
46.3,Peugeot e-Expert Combi Long 50 kWh,250,290,1868751.2,185,130,13.1
46.3,Citroen e-Jumpy Combi XL 50 kWh,257,290,1868751.2,180,130,12.1
46.3,Fiat E-Ulysse L2 50 kWh,250,290,1984285.6,185,130,12.1
46.3,Opel Vivaro-e Combi L 50 kWh,257,290,1836678,180,130,12.1
68,Opel Zafira-e Life M 75 kWh,257,290,2454220,265,130,13.3
46.3,Fiat E-Ulysse L3 50 kWh,257,290,2019725.6,180,130,12.1
